City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Port Blair,IN,80.71,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
373,Tabou,CI,78.28,light rain,4.423,-7.3528,hotêl doufoulougou
374,Tefe,BR,86.11,scattered clouds,-3.3542,-64.7114,Aracati Hotel
376,Doka,SD,76.46,few clouds,13.5167,35.7667,
377,Luwingu,ZM,70.66,clear sky,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
379,Aswan,EG,82.47,scattered clouds,24.0934,32.907,Nuba Nile
380,Abu Zabad,SD,80.33,few clouds,12.35,29.25,حامد محمد نور
382,Trinidad,BO,77.67,overcast clouds,-14.8333,-64.9,Hotel Piesta
385,Necochea,AR,80.11,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
394,Umm Lajj,SA,81.68,clear sky,25.0213,37.2685,Moon light Furnished Units
399,Wahiawa,US,77.32,light rain,21.5028,-158.0236,Aloha Wahiawa
402,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
407,Eyl,SO,76.51,scattered clouds,7.9803,49.8164,Amiin Hotel
408,Amapa,BR,86.34,overcast clouds,1.0,-52.0,
410,Fougamou,GA,73.54,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
414,Atar,MR,80.65,overcast clouds,20.5169,-13.0499,Oumou Elghoura
415,Sibolga,ID,77.04,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
417,Laguna,US,78.12,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
418,San Jose,US,81.36,haze,37.3394,-121.895,The Westin San Jose
421,Vavuniya,LK,73.53,overcast clouds,8.7514,80.4971,Thampa Hotel
422,Abaete,BR,81.41,scattered clouds,-19.16,-45.4458,Hotel Millenium
424,Waw,SS,77.45,broken clouds,7.7029,27.9953,Universal Gab Hotel
428,Clarence Town,AU,76.62,overcast clouds,-32.5833,151.7833,River Downs Cottage
431,Calamar,CO,87.75,overcast clouds,10.2511,-74.9146,Hostal Katyalex
432,Sambava,MG,74.86,broken clouds,-14.2667,50.1667,Melrose
438,Tyler,US,73.09,scattered clouds,32.3513,-95.3011,The Woldert-Spence Manor
439,Mayumba,GA,76.84,broken clouds,-3.432,10.6554,LIKWALE LODGE
442,Santa Cruz,BO,90.57,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
446,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
454,Port-Gentil,GA,78.89,light rain,-0.7193,8.7815,Fengshui Residence
457,Lagos De Moreno,MX,79.79,overcast clouds,21.35,-101.9167,Scala Hotel
459,Ovalle,CL,81.21,broken clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
460,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
461,Culebra,PR,84.2,clear sky,18.303,-65.301,Palmetto Guesthouse
464,Suez,EG,74.17,broken clouds,29.9737,32.5263,Green House
465,Kirakira,SB,84.38,scattered clouds,-10.4544,161.9205,SanBiz Lodge
467,Varca,IN,74.59,light rain,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
469,Pringsewu,ID,72.34,overcast clouds,-5.3582,104.9744,Urban Style by Front One
473,Samarai,PG,82.76,scattered clouds,-10.6167,150.6667,Nuli Sapi
476,Omboue,GA,76.44,overcast clouds,-1.5746,9.2618,Hotel Olako
477,Toro,CO,83.08,scattered clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
478,Pemba,MZ,77.61,broken clouds,-12.974,40.5178,Guesthouse Samotina
479,Kollam,IN,76.87,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
490,Mapiripan,CO,75.27,overcast clouds,2.8892,-72.1256,Monserrate
492,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
496,Hobyo,SO,79.77,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
498,Suba,PH,83.17,overcast clouds,10.8438,121.0102,Jarnchi Pension House
499,Sabang,ID,82.42,moderate rain,5.8933,95.3214,Hotel Citra
501,Tchibanga,GA,71.8,scattered clouds,-2.85,11.0333,
503,Banda Aceh,ID,79.43,overcast clouds,5.5577,95.3222,Sulthan Hotel International
504,Kirando,TZ,81.45,overcast clouds,-7.4167,30.6,Lakeshore Lodge
505,Laja,CL,77.29,clear sky,-37.2667,-72.7,Camping Los Martínez
506,Bage,BR,82.18,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
508,Abapo,BO,92.46,broken clouds,-18.8333,-63.4667,
509,Cap Malheureux,MU,75.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
511,Karratha,AU,70.32,clear sky,-20.7377,116.8463,ibis Styles Karratha
517,Hirara,JP,74.73,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
518,Goure,NE,86.02,scattered clouds,13.9835,10.2704,
519,Singaraja,ID,79.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
522,Champerico,GT,86.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
523,San Vicente,AR,73.99,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
524,Isangel,VU,78.62,scattered clouds,-19.55,169.2667,Tanna Lodge
525,Dolores,AR,77.04,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
526,Presidente Dutra,BR,85.55,scattered clouds,-5.29,-44.49,Pousada Planalto
528,Gibara,CU,88.92,overcast clouds,21.1097,-76.1317,Sol y Mar
529,Navrongo,GH,81.97,light rain,10.8956,-1.0921,Azakka Hotel
530,Porto Novo,BJ,78.37,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
531,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
537,Kisangani,CD,72.91,light rain,0.5167,25.2,Grand Ramela Hotel
538,Lagoa Formosa,BR,76.57,overcast clouds,-18.7786,-46.4075,Lagoa Hotel
542,Jacareacanga,BR,84.97,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
546,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
550,Marzuq,YE,72.72,clear sky,14.4,46.4667,
