City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Atuona,PF,2021-10-26 03:36:13,-9.8,-139.0333,78.01,71,11,15.59
148,Krutinka,RU,2021-10-26 03:36:13,56.0055,71.5113,36.99,96,100,18.05
149,Necochea,AR,2021-10-26 03:36:14,-38.5473,-58.7368,48.04,63,13,9.62
150,Uthal,PK,2021-10-26 03:36:14,25.8072,66.6219,81.93,33,0,2.06
151,Hualmay,PE,2021-10-26 03:36:14,-11.0964,-77.6139,62.38,84,66,9.84
152,Emerald,AU,2021-10-26 03:36:15,-23.5333,148.1667,87.94,45,34,5.75
153,Barbosa Ferraz,BR,2021-10-26 03:36:15,-24.03,-52.0117,75.49,94,32,3.51
154,Coracao De Jesus,BR,2021-10-26 03:36:16,-16.6853,-44.365,70.52,89,82,10.47
155,Severo-Kurilsk,RU,2021-10-26 03:36:16,50.6789,156.125,47.19,81,27,16.2
156,Victoria,HK,2021-10-26 03:35:37,22.2855,114.1577,80.96,74,100,1.99
157,Oktyabrskiy,RU,2021-10-26 03:36:17,54.4815,53.471,28.78,75,84,5.77
158,Kruisfontein,ZA,2021-10-26 03:36:18,-34.0033,24.7314,60.89,96,72,4.16
159,Lebu,CL,2021-10-26 03:36:18,-37.6167,-73.65,51.87,94,9,14.45
160,Ishigaki,JP,2021-10-26 03:36:18,24.3448,124.1572,78.93,65,75,14.97
161,Mao,ES,2021-10-26 03:36:19,39.8885,4.2658,59.56,88,0,5.75
162,Henties Bay,NA,2021-10-26 03:36:19,-22.116,14.2845,58.86,91,0,2.95
163,Gat,IL,2021-10-26 03:36:20,31.61,34.7642,65.39,100,0,2.08
164,Pangnirtung,CA,2021-10-26 03:36:20,66.1451,-65.7125,22.42,58,42,2.19
165,Puerto Ayora,EC,2021-10-26 03:36:20,-0.7393,-90.3518,68.56,94,78,5.01
166,Nishihara,JP,2021-10-26 03:36:21,26.1842,127.7558,80.26,51,20,13.8
167,Lata,PT,2021-10-26 03:36:21,40.1629,-8.3327,57.81,79,1,3.85
168,Tarapur,IN,2021-10-26 03:36:22,19.85,72.7,79.36,67,5,6.69
169,Maniitsoq,GL,2021-10-26 03:36:22,65.4167,-52.9,30.33,46,0,7.92
170,Japaratuba,BR,2021-10-26 03:36:23,-10.5933,-36.9403,78.08,82,70,8.48
171,Port Blair,IN,2021-10-26 03:36:23,11.6667,92.75,84.18,74,73,9.78
172,Qaqortoq,GL,2021-10-26 03:36:23,60.7167,-46.0333,41.5,52,23,9.64
173,Constancia,MX,2021-10-26 03:36:24,24.2231,-107.1869,79.05,87,0,2.57
174,Maku,IR,2021-10-26 03:36:24,39.2911,44.4521,41.02,70,53,1.88
175,Arraial Do Cabo,BR,2021-10-26 03:36:24,-22.9661,-42.0278,69.35,91,92,10.69
176,Chase,CA,2021-10-26 03:36:25,50.8165,-119.6857,55.15,93,99,4.56
177,Hovd,MN,2021-10-26 03:36:25,48.0056,91.6419,42.51,34,8,3.0
178,Manokwari,ID,2021-10-26 03:36:26,-0.8667,134.0833,84.6,69,3,10.76
179,Yuyao,CN,2021-10-26 03:36:26,30.05,121.1494,69.57,63,78,5.1
180,Eureka,US,2021-10-26 03:33:20,40.8021,-124.1637,56.01,68,94,3.0
181,Lompoc,US,2021-10-26 03:32:40,34.6391,-120.4579,58.41,86,1,4.61
182,Quatre Cocos,MU,2021-10-26 03:36:27,-20.2078,57.7625,75.09,73,35,18.19
183,Steinbach,DE,2021-10-26 03:36:27,50.1667,8.5667,51.6,92,75,4.61
184,Koygorodok,RU,2021-10-26 03:36:28,60.445,50.9968,28.02,92,100,4.41
185,Jinhua,CN,2021-10-26 03:36:28,29.1078,119.6547,71.53,64,74,2.08
